kata@kata-Vostro-5471:~$ sudo systemd-analyze blame
[sudo] password for kata:       
          1.504s colord.service
           690ms ufw.service
           483ms gpu-manager.service
           292ms plymouth-quit-wait.service
           235ms NetworkManager.service
           230ms dev-sda1.device
           190ms upower.service
           185ms networkd-dispatcher.service
           184ms systemd-logind.service
           183ms var-8G.swapfile.swap
           170ms ubuntu-system-adjustments.service
           167ms systemd-journal-flush.service
           166ms systemd-timesyncd.service
           166ms systemd-resolved.service
           161ms ModemManager.service
           160ms udisks2.service
           160ms systemd-udev-trigger.service
           137ms accounts-daemon.service
           116ms apport.service
           110ms hddtemp.service
           104ms thermald.service
           104ms bluetooth.service
           100ms avahi-daemon.service
            97ms lm-sensors.service
            97ms lightdm.service
            71ms grub-common.service
            64ms apparmor.service
            62ms wpa_supplicant.service
            60ms speech-dispatcher.service
            59ms systemd-udevd.service
            59ms keyboard-setup.service
            56ms systemd-fsck@dev-disk-by\x2duuid-a2984ef8\x2d6b44\x2d4eb7\x2dbdaa\x2d4172fc59166a.service
            48ms lvm2-monitor.service
            40ms systemd-journald.service
            33ms systemd-rfkill.service
            31ms systemd-tmpfiles-setup.service
            26ms rsyslog.service
            26ms user@1000.service
            25ms networking.service
            25ms dns-clean.service
            25ms systemd-tmpfiles-setup-dev.service
            22ms systemd-modules-load.service
            16ms pppd-dns.service
            15ms dev-hugepages.mount
            15ms sys-kernel-debug.mount
            13ms plymouth-start.service
            13ms kerneloops.service
            13ms rtkit-daemon.service
            12ms setvtrgb.service
            11ms plymouth-read-write.service
            10ms blk-availability.service
            10ms home.mount
            10ms systemd-remount-fs.service
            10ms polkit.service
             9ms systemd-sysctl.service
             8ms ureadahead-stop.service
             7ms dev-mqueue.mount
             6ms console-setup.service
             6ms kmod-static-nodes.service
             5ms systemd-update-utmp.service
             4ms systemd-random-seed.service
             4ms systemd-backlight@backlight:intel_backlight.service
             3ms systemd-update-utmp-runlevel.service
             3ms systemd-user-sessions.service
             2ms systemd-backlight@leds:dell::kbd_backlight.service
             1ms sys-kernel-config.mount
             1ms openvpn.service
             1ms sys-fs-fuse-connections.mount

kata@kata-Vostro-5471:~$ 

